,clust,c_avg,c_std,c_max,d_avg,d_std
46200,30,1.0,0.0,1,3.0,0.0
46201,38,9.9,2.77308492477,14,37.4,7.0313583325
46202,32,0.0,0.0,0,2.0,0.0
46203,33,2.8,0.4,3,16.3,4.12431812546
46204,33,1.0,0.0,1,9.2,0.979795897113
46205,31,5.2,0.979795897113,6,23.2,0.4
46206,31,4.1,2.25610283454,9,15.2,1.93907194297
46207,32,10.1,4.50444225182,19,29.2,11.5913761047
46208,34,0.0,0.0,0,1.0,0.0
46209,30,0.0,0.0,0,1.0,0.0
46210,31,3.5,2.29128784748,7,8.8,0.871779788708
46211,34,0.0,0.0,0,5.0,0.0
46212,34,0.0,0.0,0,1.0,0.0
46213,34,1.0,0.0,1,11.0,0.0
46214,32,2.0,0.0,2,6.5,0.5
46215,31,0.0,0.0,0,1.0,0.0
46216,30,2.6,0.663324958071,4,10.2,0.748331477355
46217,33,0.0,0.0,0,4.0,0.0
46218,30,1.0,0.0,1,11.0,0.0
46219,30,7.7,2.86530975638,14,17.5,2.5
46220,30,0.0,0.0,0,1.0,0.0
46221,32,2.0,0.0,2,7.0,0.0
46222,29,0.0,0.0,0,1.0,0.0
46223,34,2.3,1.67630546142,6,11.6,2.8
46224,32,13.4,11.4560027933,40,34.1,17.4897112612
46225,33,0.0,0.0,0,1.0,0.0
46226,30,0.0,0.0,0,7.0,0.0
46227,31,7.5,0.67082039325,9,12.3,1.61554944214
46228,29,2.3,0.458257569496,3,30.0,0.0
46229,32,7.1,2.02237484162,9,15.3,1.73493515729
46230,31,0.0,0.0,0,1.0,0.0
46231,30,3.2,1.32664991614,6,12.6,0.916515138991
46232,32,1.0,0.0,1,6.2,0.748331477355
46233,31,7.4,2.37486841741,12,18.2,1.72046505341
46234,31,0.0,0.0,0,6.0,0.0
46235,33,4.1,1.44568322948,8,14.4,2.24499443206
46236,30,1.0,0.0,1,6.0,0.0
46237,28,9.3,0.781024967591,10,16.7,0.640312423743
46238,34,2.6,0.663324958071,3,6.0,1.61245154966
46239,32,5.1,0.943398113206,6,10.8,1.07703296143
46240,30,3.7,0.458257569496,4,8.0,0.0
46241,30,2.0,0.0,2,7.0,0.0
46242,32,8.1,0.7,10,17.3,2.57099202644
46243,31,7.5,1.74642491966,12,17.9,3.72692903072
46244,33,0.0,0.0,0,1.0,0.0
46245,32,0.0,0.0,0,1.0,0.0
46246,32,0.0,0.0,0,2.0,0.0
46247,29,12.1,5.22398315464,19,23.1,6.26817357769
46248,28,5.4,0.8,6,15.6,2.15406592285
46249,31,1.0,0.0,1,5.0,0.0
46250,33,4.4,0.8,6,12.1,0.3
46251,29,4.9,0.830662386292,6,16.4,0.8
46252,32,1.0,0.0,1,5.0,0.0
46253,29,0.0,0.0,0,1.0,0.0
46254,32,0.0,0.0,0,1.0,0.0
46255,36,2.4,0.489897948557,3,7.0,0.0
46256,30,4.9,0.3,5,21.0,0.632455532034
46257,31,7.9,1.75783958312,12,22.0,2.79284800875
46258,29,8.3,3.28785644455,14,18.0,6.37181292883
46259,32,0.0,0.0,0,4.0,0.0
46260,32,1.6,0.663324958071,3,5.5,0.5
46261,33,0.0,0.0,0,6.0,0.0
46262,32,8.2,1.66132477258,12,21.4,2.87054001888
46263,29,0.0,0.0,0,1.0,0.0
46264,30,0.0,0.0,0,1.0,0.0
46265,34,0.0,0.0,0,1.0,0.0
46266,28,1.0,0.0,1,5.0,0.0
46267,27,1.0,0.0,1,5.0,0.0
46268,33,0.0,0.0,0,2.0,0.0
46269,33,1.0,0.0,1,4.0,0.0
46270,29,1.9,1.37477270849,4,8.3,0.458257569496
46271,29,4.0,0.0,4,15.0,0.0
46272,33,2.0,0.0,2,15.0,0.0
46273,28,5.5,0.5,6,12.0,1.0
46274,29,13.9,3.80657326213,19,31.5,7.8006409993
46275,30,11.7,3.49428104193,19,28.6,4.45421149026
46276,32,7.7,3.52278299076,14,20.1,3.56230262611
46277,31,4.8,2.44131112315,9,12.7,3.16385840391
46278,27,4.0,0.0,4,13.0,0.0
46279,33,3.4,0.489897948557,4,8.0,0.0
46280,31,2.9,0.3,3,6.0,0.0
46281,32,0.0,0.0,0,3.0,0.0
46282,32,2.3,0.9,5,8.9,0.3
46283,31,0.0,0.0,0,3.0,0.0
46284,31,1.0,0.0,1,2.0,0.0
46285,29,0.0,0.0,0,1.0,0.0
46286,29,0.0,0.0,0,1.0,0.0
46287,33,3.1,0.3,4,8.1,0.3
46288,30,5.0,0.0,5,9.9,0.3
46289,31,3.2,0.4,4,9.8,1.6
46290,31,2.5,1.0246950766,4,4.4,0.916515138991
46291,35,1.0,0.0,1,2.0,0.0
